MUNICIPIO,TOTAL_CASOS_PROCESADOS,PROMEDIO_INDICADOR,prediction,PERFIL_CLUSTER
SOACHA,2114711.9,176.23,2,Alta incidencia
GIRARDOT,774311.27,65.07,0,Media incidencia
FUSAGASUGA,724388.89,61.13,0,Media incidencia
FACATATIVA,723511.32,60.54,0,Media incidencia
CHIA,692932.89,58.23,0,Media incidencia
ZIPAQUIRA,555492.07,46.48,0,Media incidencia
VILLETA,552649.49,51.65,0,Media incidencia
UBATE,544589.07,48.19,0,Media incidencia
CAJICA,518382.18,44.88,0,Media incidencia
LA MESA,514650.19,44.56,0,Media incidencia
UBAQUE,495539.56,53.86,0,Media incidencia
EL COLEGIO,481558.34,40.64,0,Media incidencia
MOSQUERA,472406.8,39.53,0,Media incidencia
COTA,467946.15,39.49,0,Media incidencia
FUNZA,463425.79,39.11,0,Media incidencia
MADRID,460166.18,38.83,0,Media incidencia
GUTIERREZ,455693.61,57.32,0,Media incidencia
ANAPOIMA,439264.76,43.71,0,Media incidencia
LA VEGA,424505.12,43.32,0,Media incidencia
CHOCONTA,417044.93,42.77,0,Media incidencia
CACHIPAY,413828.3,35.83,0,Media incidencia
CAQUEZA,411057.03,37.37,0,Media incidencia
GUADUAS,409857.35,36.43,0,Media incidencia
SIBATE,407956.05,34.87,0,Media incidencia
QUETAME,402356.86,41.27,0,Media incidencia
CUCUNUBA,388585.33,42.47,0,Media incidencia
ALBAN,384591.96,38.46,0,Media incidencia
PARATEBUENO,369592.7,37.91,0,Media incidencia
RICAURTE,368108.48,33.62,0,Media incidencia
CAPARRAPI,366631.56,36.3,0,Media incidencia
CHAGUANI,364758.65,44.76,0,Media incidencia
MEDINA,363381.02,41.06,0,Media incidencia
LENGUAZAQUE,362780.84,35.05,0,Media incidencia
TENA,358973.9,36.63,0,Media incidencia
SESQUILE,349479.87,36.79,0,Media incidencia
SAN FRANCISCO,335720.71,33.24,0,Media incidencia
CHIPAQUE,335068.74,34.37,0,Media incidencia
SUESCA,334532.83,33.12,0,Media incidencia
VIOTA,333534.05,31.92,0,Media incidencia
GACHANCIPA,332280.37,34.08,0,Media incidencia
SOPO,330715.19,31.5,0,Media incidencia
BOJACA,325312.45,32.37,0,Media incidencia
CHOACHI,322492.24,33.08,0,Media incidencia
GUAYABETAL,320415.17,36.0,0,Media incidencia
SASAIMA,310929.18,27.52,1,Baja incidencia
GUACHETA,300518.77,26.71,1,Baja incidencia
QUEBRADANEGRA,298956.99,35.38,0,Media incidencia
PASCA,295434.17,33.38,0,Media incidencia
SAN ANTONIO DEL TEQUENDAMA,291620.38,28.18,1,Baja incidencia
VILLAPINZON,284565.57,26.59,1,Baja incidencia
NIMAIMA,281068.09,32.87,1,Baja incidencia
TOCANCIPA,278295.26,24.2,1,Baja incidencia
TOCAIMA,275782.88,26.52,1,Baja incidencia
VERGARA,274979.77,28.95,1,Baja incidencia
SILVANIA,274828.51,23.0,1,Baja incidencia
NILO,274148.39,30.29,1,Baja incidencia
FOSCA,266462.96,33.52,1,Baja incidencia
