MUNICIPIO,TOTAL_CASOS_PROCESADOS
SOACHA,2114711.9
GIRARDOT,774311.27
FUSAGASUGA,724388.89
FACATATIVA,723511.32
CHIA,692932.89
ZIPAQUIRA,555492.07
VILLETA,552649.49
UBATE,544589.07
CAJICA,518382.18
LA MESA,514650.19
UBAQUE,495539.56
EL COLEGIO,481558.34
MOSQUERA,472406.8
COTA,467946.15
FUNZA,463425.79
MADRID,460166.18
GUTIERREZ,455693.61
ANAPOIMA,439264.76
LA VEGA,424505.12
CHOCONTA,417044.93
CACHIPAY,413828.3
CAQUEZA,411057.03
GUADUAS,409857.35
SIBATE,407956.05
QUETAME,402356.86
CUCUNUBA,388585.33
ALBAN,384591.96
PARATEBUENO,369592.7
RICAURTE,368108.48
CAPARRAPI,366631.56
CHAGUANI,364758.65
MEDINA,363381.02
LENGUAZAQUE,362780.84
TENA,358973.9
SESQUILE,349479.87
SAN FRANCISCO,335720.71
CHIPAQUE,335068.74
SUESCA,334532.83
VIOTA,333534.05
GACHANCIPA,332280.37
SOPO,330715.19
BOJACA,325312.45
CHOACHI,322492.24
GUAYABETAL,320415.17
SASAIMA,310929.18
GUACHETA,300518.77
QUEBRADANEGRA,298956.99
PASCA,295434.17
SAN ANTONIO DEL TEQUENDAMA,291620.38
VILLAPINZON,284565.57
NIMAIMA,281068.09
TOCANCIPA,278295.26
TOCAIMA,275782.88
VERGARA,274979.77
SILVANIA,274828.51
NILO,274148.39
FOSCA,266462.96
NEMOCON,261479.28
EL ROSAL,258186.6
GUATAVITA,256386.36
SIMIJACA,253051.31
APULO,251290.46
CARMEN DE CARUPA,245581.93
SUTATAUSA,244339.91
FUQUENE,242458.08
PUERTO SALGAR,242396.68
LA PALMA,227070.4
MACHETA,225573.5
UTICA,222810.4
TIBIRITA,222294.31
LA CALERA,219998.23
FOMEQUE,209760.39
NOCAIMA,209518.66
TENJO,209017.7
ZIPACON,206245.6
PANDI,202789.07
GUASCA,201316.72
VENECIA,196574.19
UNE,195277.53
VIANI,193429.65
GUAYABAL DE SIQUIMA,191660.55
GRANADA,188577.03
EL PENON,186218.98
SUSA,185676.02
AGUA DE DIOS,185514.52
LA PENA,175235.5
GUATAQUI,172565.67
ARBELAEZ,169902.18
TAUSA,169060.92
TIBACUY,168318.02
BITUIMA,165254.81
SUBACHOQUE,163770.78
COGUA,161416.37
NARINO,158295.45
PACHO,156850.15
SAN JUAN DE RIOSECO,154299.77
ANOLAIMA,153922.91
TABIO,152640.17
GACHETA,150070.89
MANTA,148191.1
QUIPILE,147393.24
SUPATA,141341.85
PULI,139996.62
VILLAGOMEZ,136083.63
UBALA,124720.37
JERUSALEN,121667.57
CABRERA,120204.27
TOPAIPI,120163.47
SAN BERNARDO,111557.65
BELTRAN,103913.2
PAIME,100248.93
YACOPI,89691.48
GAMA,87038.56
JUNIN,84135.97
SAN CAYETANO,81073.63
GACHALA,71750.13
