MUNICIPIO,PROMEDIO
SAN JUAN DE RIOSECO,16.414869518965258
EL ROSAL,22.54904765644343
TIBACUY,20.780002802214774
FUSAGASUGA,61.129864106991384
PANDI,23.580124934312412
UBALA,15.590045636525605
GAMA,14.628329457364828
RICAURTE,33.61721303670508
TENJO,20.69482207171039
FUNZA,39.10766177204345
CABRERA,16.579899419898886
GACHANCIPA,34.08003778865909
BELTRAN,17.46440294459539
UBATE,48.1937226950308
CAPARRAPI,36.30015425735154
FOMEQUE,20.26670397357795
SAN ANTONIO DEL TEQUENDAMA,28.17588178105216
MADRID,38.832588907796975
MEDINA,41.060002675284906
SASAIMA,27.515856253384985
AGUA DE DIOS,20.27481076431739
ANAPOIMA,43.7079362684193
CHIPAQUE,34.36602424236135
SUBACHOQUE,16.883585752409342
TOCANCIPA,24.19958790203032
PUERTO SALGAR,23.764380838500767
EL PENON,24.18428332576386
CAJICA,44.88157429382504
COTA,39.489126287586274
YACOPI,10.192213860375658
JUNIN,15.437791876750751
TIBIRITA,26.62207331960462
GUADUAS,36.43176473047202
NILO,30.292639253641983
TOPAIPI,15.915691473192544
ZIPACON,26.78514315368471
FACATATIVA,60.54488010673259
MANTA,20.16205443291783
GUASCA,21.30335698088371
LENGUAZAQUE,35.0512884178403
CHIA,58.2296543373635
CUCUNUBA,42.468342401586256
PACHO,15.154604118622906
VENECIA,24.726313230472993
PASCA,33.38239196857997
NEMOCON,26.017838634898958
MOSQUERA,39.53194944811677
CACHIPAY,35.829289979015236
GUAYABAL DE SIQUIMA,19.861196446553013
NIMAIMA,32.87346139253798
SUTATAUSA,27.453922020637712
APULO,26.5915826457972
SUSA,21.59023497343427
GUATAQUI,22.266537973812675
NARINO,26.82973745100229
FUQUENE,32.54470808941899
SUESCA,33.12206251711918
VILLAPINZON,26.594913056842152
QUIPILE,17.44298722541604
TOCAIMA,26.517584913564612
CAQUEZA,37.368820827309115
LA PALMA,25.37099414034773
CHOCONTA,42.773839410124886
GUACHETA,26.71277982872674
GRANADA,20.837240721521905
GACHETA,16.957162641541192
QUETAME,41.267369989133286
JERUSALEN,21.3451878520257
SESQUILE,36.787355180651055
SAN BERNARDO,13.604590930177412
VILLAGOMEZ,22.87119812925803
ZIPAQUIRA,46.484692325452755
GUAYABETAL,36.0017040764141
CHAGUANI,44.75566255268113
CARMEN DE CARUPA,28.72303289630626
LA VEGA,43.316848646436874
EL COLEGIO,40.6378343888499
SOACHA,176.22599205979117
PARATEBUENO,37.906943735023894
ARBELAEZ,18.568544557747227
ALBAN,38.459196380509034
SUPATA,17.778849461784105
SOPO,31.496684317908027
GUTIERREZ,57.319951305952614
NOCAIMA,24.505106119388607
UTICA,26.844626879282522
FOSCA,33.51735362568462
VIOTA,31.917134286235836
CHOACHI,33.07612750738248
MACHETA,28.73547724813235
SAN CAYETANO,10.46111307402674
QUEBRADANEGRA,35.37952563074816
ANOLAIMA,16.550850216660464
VILLETA,51.64948549060527
BOJACA,32.36939807096367
LA MESA,44.558458115805976
TAUSA,20.36878594083496
PULI,19.717833413053125
COGUA,16.555525141187264
BITUIMA,25.42381676048696
LA PENA,20.02691469424404
TENA,36.62998967053429
GUATAVITA,29.301298068143254
UNE,22.575437400226377
SIBATE,34.868038618983874
SILVANIA,22.998201519526898
VERGARA,28.945239345960783
UBAQUE,53.86299577222603
GIRARDOT,65.06817370088055
TABIO,16.152399161273046
GACHALA,11.666687155328848
VIANI,28.033282382466883
SAN FRANCISCO,33.23967392177544
SIMIJACA,28.432731426512106
LA CALERA,19.468869950009697
PAIME,15.663895818359123
